"temperatura";"punto_rocio";"humedad";"direccion_viento";"velocidad_viento";"velocidad_rafaga";"precipitacion";"presion";"visibilidad"
37.04;19.94;49.62;300;13.80936;20.71404;0;1012.1;10
33.98;15.08;45.43;310;12.65858;25.31716;0;1014.1;10
30.02;12.92;48.48;320;18.41248;26.46794;0;1016;10
28.94;12.02;48.69;320;18.41248;25.31716;0;1016.5;10
26.96;10.94;50.34;310;14.96014;25.31716;0;1016.3;10
26.06;10.94;52.25;330;12.65858;24.16638;0;1016.3;10
30.92;12.02;44.92;300;14.96014;25.31716;0;1017.5;10
32;12.92;44.74;290;12.65858;23.0156;0;1017.1;10
33.98;12.92;41.33;290;16.11092;25.31716;0;1017.3;10
33.98;10.94;37.86;310;17.2617;26.46794;0;1017.8;10
33.98;12.02;39.72;310;13.80936;20.71404;0;1018.5;10
32;12.92;44.74;290;12.65858;18.41248;0;1019.7;10
30.02;14;50.84;280;9.20624;16.11092;0;1020.6;10
35.96;21.02;54.21;250;14.96014;19.56326;0;1019;10
37.04;19.04;47.75;260;16.11092;27.61872;0;1018.1;10
37.04;19.04;47.75;270;20.71404;27.61872;0;1016.9;10
39.92;19.94;44.33;260;17.2617;25.31716;0;1015.8;10
37.94;19.04;46.09;250;24.16638;31.07106;0;1015.1;10
37.94;19.94;47.89;250;21.86482;28.7695;0;1014.7;10
37.94;19.94;47.89;250;18.41248;27.61872;0;1014.6;10
37.04;19.94;49.62;250;17.2617;25.31716;0;1014.8;10
35.06;21.02;56.18;240;11.5078;19.56326;0;1015.5;10
32;17.06;53.6;290;18.41248;23.0156;0;1019.3;10
35.06;19.94;53.66;240;9.20624;20.71404;0;1024.5;10
41;21.02;44.51;310;10.35702;21.86482;0;1024.9;10
42.08;19.94;40.77;320;14.96014;26.46794;0;1024.6;10
44.06;19.94;37.79;290;11.5078;19.56326;0;1023.6;10
44.06;19.94;37.79;310;9.20624;16.11092;0;1024;10
46.94;26.96;45.48;240;13.80936;19.56326;0;1015.5;10
48.02;24.98;40.22;250;14.96014;18.41248;0;1015.1;10
44.06;26.96;50.73;300;13.80936;23.0156;0;1025.9;10
44.96;24.08;43.49;320;14.96014;21.86482;0;1026.5;10
46.04;23;39.9;300;11.5078;20.71404;0;1026.6;10
46.94;21.92;36.85;300;14.96014;24.16638;0;1026.9;10
46.94;19.94;33.88;290;11.5078;20.71404;0;1027.6;10
46.94;30.02;51.55;230;14.96014;25.31716;0;1027.9;10
48.92;37.04;63.39;210;13.80936;20.71404;0;1020.7;9
50;37.04;60.89;240;11.5078;20.71404;0;1021;10
41;26.06;54.97;300;12.65858;20.71404;0;1029;10
39.92;24.98;54.81;280;6.90468;17.2617;0;1030;10
44.96;23;41.56;320;17.2617;26.46794;0;1032.7;10
46.94;21.92;36.85;330;13.80936;23.0156;0;1032;10
48.92;21.92;34.21;320;14.96014;20.71404;0;1031.3;10
50;21.92;32.86;310;12.65858;18.41248;0;1031.5;10
50;21.92;32.86;300;11.5078;19.56326;0;1031.9;10
57.02;44.06;61.81;320;10.35702;17.2617;0;1019;10
55.94;37.94;50.72;340;12.65858;20.71404;0;1020;10
53.06;30.92;42.58;320;14.96014;27.61872;0;1021;10
51.08;30.02;44.16;330;11.5078;18.41248;0;1022.4;10
42.98;24.98;48.7;320;8.05546;17.2617;0;1017.7;10
28.04;12.92;52.57;330;21.86482;32.22184;0;1026.3;10
28.04;8.06;42.32;340;16.11092;24.16638;0;1028;10
28.94;6.98;38.85;310;16.11092;26.46794;0;1030.1;10
30.92;6.98;35.84;300;12.65858;21.86482;0;1030.6;10
30.92;1.94;28.44;340;16.11092;24.16638;0;1030.7;10
30.92;3.02;29.9;330;9.20624;16.11092;0;1030.6;10
35.06;24.08;63.91;210;18.41248;24.16638;0;1025.8;10
42.98;24.98;48.7;220;23.0156;28.7695;0;1024.1;10
48.02;24.98;40.22;220;23.0156;27.61872;0;1020.4;10
50;24.08;35.98;220;18.41248;27.61872;0;1019.4;10
51.08;23;33.04;220;19.56326;25.31716;0;1018.7;10
51.98;23;31.96;220;19.56326;25.31716;0;1018.1;10
46.94;26.96;45.48;200;14.96014;23.0156;0;1017.2;10
46.94;26.96;45.48;210;12.65858;24.16638;0;1016.9;10
44.96;26.96;49.02;210;18.41248;26.46794;0;1015.3;10
44.06;28.04;53.03;220;17.2617;23.0156;0;1014.4;10
42.98;28.04;55.27;220;16.11092;25.31716;0;1013.4;10
48.92;28.04;44.14;230;16.11092;24.16638;0;1007.5;10
53.96;28.04;36.63;240;19.56326;29.92028;0;1006.9;10
53.96;26.96;35.04;250;19.56326;41.42808;0;1006;10
55.94;24.08;28.93;260;20.71404;39.12652;0;1005.5;10
53.96;19.04;25.12;260;25.31716;34.5234;0;1006;10
53.06;14;20.87;250;26.46794;37.97574;0;1006.9;10
51.98;14;21.72;290;23.0156;31.07106;0;1008.3;10
48.02;10.94;21.98;290;21.86482;32.22184;0;1009.8;10
44.06;10.04;24.53;280;19.56326;34.5234;0;1011.5;10
42.08;12.92;30.08;290;21.86482;29.92028;0;1012.7;10
39.02;12.02;32.55;300;14.96014;23.0156;0;1014;10
37.04;14;38.38;310;17.2617;26.46794;0;1015.3;10
30.02;10.04;42.66;320;12.65858;18.41248;0;1017.6;10
26.06;6.08;41.98;290;10.35702;19.56326;0;1010.7;10
24.98;6.98;45.74;270;13.80936;18.41248;0;1011.4;10
24.08;6.98;47.49;280;18.41248;26.46794;0;1011.8;10
23;6.98;49.69;280;16.11092;25.31716;0;1012.3;10
